"Yellow","Blue","Indigo","Sample","Site"
0.999999998,9.9999999955e-10,9.9999999955e-10,"104.bam","New Grounds Shoal"
0.999999998,9.9999999951e-10,9.9999999951e-10,"105.bam","New Grounds Shoal"
9.9999999951e-10,0.999999998,9.9999999951e-10,"116.bam","Marquesas Rock"
0.999999998,9.9999999951e-10,9.9999999951e-10,"117.bam","Marquesas Rock"
9.9999999949e-10,0.999999998,9.9999999949e-10,"131.bam","Satan Shoal"
0.991363496058187,9.9999999999e-10,0.00863650294181351,"132.bam","Satan Shoal"
9.999999998e-10,0.999999998,9.999999998e-10,"133.bam","Satan Shoal"
0.117740495114154,0.269784720024701,0.612474784861145,"134.bam","Satan Shoal"
0.999999998,9.9999999953e-10,9.9999999953e-10,"136.bam","Satan Shoal"
0.00475812216440128,0.0173843889436358,0.977857488891963,"137.bam","Satan Shoal"
0.990402728725732,1.44817349145e-09,0.00959726982609446,"156.bam","Satan Shoal"
0.999999998,9.9999999949e-10,9.9999999949e-10,"168.bam","Middle Ground"
0.990154975883639,0.00984502311636123,9.9999999976e-10,"169.bam","Middle Ground"
0.995757523298438,0.00424247570156163,9.9999999982e-10,"175.bam","Middle Ground"
0.999999998,9.9999999954e-10,9.9999999954e-10,"176.bam","Middle Ground"
9.9999999951e-10,0.999999998,9.9999999951e-10,"177.bam","Middle Ground"
9.9999999955e-10,0.999999998,9.9999999955e-10,"178.bam","Middle Ground"
0.983347686905412,0.0166523120945879,9.9999999958e-10,"191.bam","Key West Inshore"
0.802361632533239,0.119882459761321,0.0777559077054396,"198.bam","Key West Inshore"
9.9999999912e-10,9.9999999912e-10,0.999999998,"1.bam","Rebecca Shoals"
0.081152134184866,0.742017208412353,0.176830657402781,"211.bam","Eastern Dry Rocks"
0.0063229186873472,0.56680139609592,0.426875685216733,"212.bam","Eastern Dry Rocks"
0.520081924309909,9.3527969216255e-07,0.479917140410399,"214.bam","Eastern Dry Rocks"
0.65858222391071,0.17991871617959,0.1614990599097,"215.bam","Eastern Dry Rocks"
0.0462838205419372,0.737635224778776,0.216080954679287,"216.bam","Eastern Dry Rocks"
0.0225185220009924,0.947763507016687,0.0297179709823205,"217.bam","Eastern Dry Rocks"
0.0632501433170845,0.936749855682915,9.999999996e-10,"218.bam","Eastern Dry Rocks"
0.023284729373684,0.976715269626316,9.9999999963e-10,"219.bam","Eastern Dry Rocks"
0.0356500230437711,0.964349975956229,9.9999999953e-10,"220.bam","Eastern Dry Rocks"
0.0230114970040394,9.9999999999e-10,0.976988501995961,"221.bam","W Sambo Deep"
0.0168890845108981,0.145661638485402,0.8374492770037,"222.bam","W Sambo Deep"
0.00221096952725717,0.0545457481654287,0.943243282307314,"223.bam","W Sambo Deep"
9.9999999999e-10,0.00142879184738623,0.998571207152614,"225.bam","W Sambo Deep"
0.0855581072426971,0.00159135918983031,0.912850533567473,"226.bam","W Sambo Deep"
9.9999999927e-10,9.9999999927e-10,0.999999998,"227.bam","W Sambo Deep"
9.9999999952e-10,9.9999999952e-10,0.999999998,"228.bam","W Sambo Deep"
0.0418337602258473,0.124499868961448,0.833666370812705,"229.bam","W Sambo Deep"
0.999999998,9.9999999951e-10,9.9999999951e-10,"241.bam","W Sambo Shallow"
1.85057143672207e-06,0.999998148428563,9.9999999979e-10,"243.bam","W Sambo Shallow"
0.999999998,9.9999999957e-10,9.9999999957e-10,"250.bam","W Sambo Shallow"
0.993861249304111,9.9999999999e-10,0.00613874969588931,"251.bam","W Sambo Shallow"
0.999999998,9.999999997e-10,9.999999997e-10,"259.bam","Pelican Patch"
0.00169447413603981,0.99830552486396,9.9999999952e-10,"25.bam","DT.Pinnacle"
0.996322083325277,9.9999999998e-10,0.00367791567472264,"260.bam","Pelican Patch"
8.04006642405941e-05,0.999919598335759,9.9999999957e-10,"271.bam","Middle Sambo"
0.985925197123523,6.74059845796122e-06,0.0140680622780188,"272.bam","Middle Sambo"
0.0342021192575008,0.960515784043041,0.00528209669945848,"276.bam","Pelican Patch"
9.999999992e-10,9.999999992e-10,0.999999998,"27.bam","DT.1"
0.990684106780962,9.9999999999e-10,0.00931589221903798,"280.bam","Pelican Shoal"
0.998310480285905,0.0016895187140947,9.9999999952e-10,"286.bam","Pelican Patch"
0.0362509745606307,0.963749024439369,9.9999999951e-10,"288.bam","Pelican Shoal"
0.0450778349212895,0.95492216407871,9.9999999953e-10,"296.bam","Pelican Shoal"
0.999999998,9.9999999956e-10,9.9999999956e-10,"297.bam","Pelican Shoal"
0.999999998,9.9999999952e-10,9.9999999952e-10,"298.bam","Pelican Shoal"
0.00032903452629873,0.999670964473701,9.9999999968e-10,"299.bam","Pelican Shoal"
9.9999999996e-10,9.9999999996e-10,0.999999998,"2.bam","Rebecca Shoals"
0.05793608548656,0.94206391351344,9.9999999956e-10,"300.bam","Pelican Shoal"
0.999999998,9.9999999958e-10,9.9999999958e-10,"306.bam","Maryland Shoal"
0.980444359113832,0.00676028776859807,0.0127953531175694,"311.bam","Maryland Shoal"
0.979874239200672,0.00981507576079165,0.0103106850385367,"314.bam","Maryland Shoal"
0.991687957223232,0.00570447261425789,0.00260757016251032,"316.bam","Maryland Shoal"
0.999999998,9.9999999977e-10,9.9999999977e-10,"341.bam","American Shoal"
0.437794065777514,0.356529831079654,0.205676103142832,"342.bam","American Shoal"
0.999999998,9.9999999997e-10,9.9999999997e-10,"343.bam","American Shoal"
0.987697140474813,0.0123028585251866,9.9999999982e-10,"344.bam","American Shoal"
0.997560163160428,0.00243983583957181,9.9999999966e-10,"345.bam","American Shoal"
0.664401594279939,0.282610392915068,0.0529880128049931,"346.bam","American Shoal"
0.992079716331528,9.9999999999e-10,0.00792028266847216,"347.bam","American Shoal"
0.106767883771788,0.0137205987003054,0.879511517527907,"356.bam","Looe Key Deep"
0.0371476717629783,9.9999999999e-10,0.962852327237022,"358.bam","Looe Key Deep"
0.941017515451972,0.0589824835480284,9.9999999978e-10,"371.bam","Looe Key Shallow"
0.961359618197775,0.0146529101932165,0.0239874716090084,"375.bam","Sombrero Key"
0.985577091704339,0.0144229072956615,9.999999995e-10,"376.bam","Looe Key Shallow"
0.999999998,9.9999999961e-10,9.9999999961e-10,"377.bam","Looe Key Shallow"
0.957736072596471,0.0422639264035288,9.9999999987e-10,"378.bam","Looe Key Shallow"
0.064627696828498,0.0186348731729852,0.916737429998517,"381.bam","Looe Key Deep"
9.9999999968e-10,9.9999999968e-10,0.999999998,"383.bam","Looe Key Deep"
0.92732556664176,0.0313229665430336,0.0413514668152064,"384.bam","Looe Key Shallow"
0.930701379128385,0.0178575863324272,0.0514410345391875,"385.bam","Sombrero Key"
0.00165725972716265,0.998342739272837,9.9999999953e-10,"395.bam","Sombrero Key"
0.977144915386631,0.0228550836133688,9.9999999958e-10,"396.bam","Sombrero Key"
0.938248843501858,0.0387879247100756,0.0229632317880664,"397.bam","Sombrero Key"
0.893618454117529,0.0117221257615086,0.0946594201209618,"410.bam","Alligator Shallow"
0.999999998,9.9999999952e-10,9.9999999952e-10,"411.bam","Alligator Shallow"
0.789865838655031,0.0996860373851423,0.110448123959826,"412.bam","Alligator Shallow"
0.999999998,9.9999999956e-10,9.9999999956e-10,"413.bam","Alligator Shallow"
0.940858835576362,4.0568443754376e-06,0.0591371075792621,"414.bam","Alligator Shallow"
0.0178340458027037,0.0139352602086882,0.968230693988608,"416.bam","Coffin Patch"
0.996124801840977,0.00387519715902281,9.9999999962e-10,"417.bam","Coffin Patch"
0.0297594335311405,0.00941840069562567,0.960822165773234,"418.bam","Coffin Patch"
0.999997772066942,2.22693305798395e-06,9.9999999957e-10,"419.bam","Coffin Patch"
9.9999999985e-10,0.999999998,9.9999999985e-10,"426.bam","Tennessee Deep"
0.999999998,9.9999999963e-10,9.9999999963e-10,"427.bam","Tennessee Deep"
0.999999998,9.9999999959e-10,9.9999999959e-10,"428.bam","Tennessee Deep"
0.106534559504435,9.9999999999e-10,0.893465439495565,"429.bam","Tennessee Deep"
0.999999998,9.9999999983e-10,9.9999999983e-10,"446.bam","Alligator Deep"
0.058629120232352,9.9999999999e-10,0.941370878767648,"447.bam","Alligator Deep"
0.0461357970809881,0.0952532013285402,0.858611001590472,"448.bam","Alligator Deep"
