pop,lon,lat,code,tsumm,twint,salsumm,salwint,"Within HELCOM MPA (0,1)"
HAL,21.0896,63.3074,31,14.02,-0.01,4.39,4.78,1
SOD,21.3819,63.3369,32,13.96,-0.08,4.13,4.50,1
STO,21.1358,62.4746,33,15.43,0.04,5.65,5.93,1
SAL,21.2154,62.3336,34,14.92,0.20,5.80,6.07,1
BJO,21.3490,61.4800,35,14.75,0.61,6.12,6.27,0
RAU,21.3049,61.1435,36,16.10,0.18,6.12,6.29,0
SKR,21.9554,60.2341,38,19.49,0.04,6.21,6.45,0
HAN,23.1408,59.8322,39,16.24,1.22,6.18,6.01,1
HEL,24.9177,60.1406,40,15.29,0.74,5.66,5.23,0
KOT,26.9500,60.4700,41,16.66,0.86,4.44,4.41,0
LIL,8.3534,58.2242,2,15.74,3.68,27.17,25.56,0
TVE,8.9549,58.6104,3,14.57,4.66,26.29,32.07,0
ESP,12.1849,57.1899,6,19.06,2.18,16.45,19.65,0
OST,18.9946,59.7023,25,16.48,0.62,5.70,5.99,0
NYN,17.9288,58.8773,24,15.79,1.58,6.44,6.65,0
VAS,16.7320,57.6953,23,16.48,1.54,7.07,7.27,0
BOR,16.7208,56.8858,22,19.65,0.57,7.23,7.44,0
OTT,16.4000,56.1948,21,16.13,3.18,7.59,7.64,0
KIV,14.2306,55.6878,20,15.42,3.04,7.89,8.01,0
DJU,18.4012,60.3687,26,18.71,-0.11,5.07,5.09,0
FAL,12.9341,55.4130,10,16.95,3.30,8.33,8.57,1
LAN,12.8099,55.8770,9,17.60,3.23,11.66,12.98,0
KUG,17.5164,61.6988,27,13.72,0.56,4.87,5.24,0
BAR,18.4021,62.8610,28,13.77,0.67,4.47,4.96,1
VEJ,12.7623,56.3157,7,19.54,2.11,14.57,16.61,0
JAR,19.6663,63.4356,29,13.21,0.29,3.66,4.30,0
PRI,28.6301,60.3655,42,17.72,0.64,3.36,3.79,1
LET,26.6106,59.5521,43,17.77,0.81,5.65,6.19,0
PAK,24.1336,59.3689,44,16.47,2.09,7.06,7.15,1
PAN,22.2986,58.5689,47,17.58,2.16,7.53,7.60,1
TUJ,24.3796,57.4825,49,18.52,1.16,5.19,5.78,1
SAR,23.0628,58.8436,45,19.35,0.18,6.70,6.34,1
KOI,22.9822,58.3703,48,17.14,0.81,6.15,6.13,1
PUL,22.9537,58.6147,46,20.25,-0.06,6.43,6.45,1
SBL,20.0117,63.6107,30,12.45,0.31,3.21,3.78,0
TJA,11.1341,58.8657,4,16.36,3.94,23.44,28.72,1
EBE,10.6680,56.1947,12,17.65,2.68,20.28,21.83,0
SAS,13.6271,54.3993,19,18.75,2.23,8.20,8.94,1
STE,12.1708,54.9839,18,17.71,3.15,8.54,9.87,1
HER,12.5364,55.9540,8,18.10,2.94,13.12,14.37,0
NEU,10.8046,54.0913,17,20.34,2.76,13.00,15.42,0
KIE,10.1883,54.4117,16,19.45,2.88,14.40,17.73,1
HOO,9.8855,54.9056,15,19.08,3.30,15.20,17.89,1
KOL,9.6261,55.5137,14,18.71,2.66,15.78,19.93,1
JUE,10.0084,55.7168,13,17.29,2.60,19.43,21.50,0
BON,10.7121,56.5331,11,17.67,1.61,24.12,24.49,1
SYL,8.4389,55.0209,1,16.87,2.85,30.40,29.93,1
FIS,11.4516,58.2476,5,16.65,3.63,23.78,26.40,1
